Ticket_ID,Customer_ID,Equipment_Model,Issue_Category,Priority_Level,Signal_Strength_dBm,Technician_Assigned,Department,Created_Date,Resolved_Date,Resolution_Time_Hrs,Status,Customer_Satisfaction_Rating,Escalation_Flag,First_Contact_Resolution,Technician_Expertise_Level,Remote_Resolution_Attempted,On_Site_Visit_Required,Cost_Of_Resolution,Parts_Replaced
3155,8668,Super Joey,Cancellation,High,-54.0,Laura Blankenship,Equipment Support,2025-03-08 12:36:38.476169,2024-10-18 12:36:38.476169,68,In Progress,3.1,False,True,Expert,True,True,362.79,False
3156,10638,4K Joey,Installation,High,-86.0,Breanna Ray,Network Operations,2024-04-18 12:36:38.476169,2025-12-17 12:36:38.476169,60,Clsd,1.4,True,True,Senior,True,True,16.59,False
3157,7096,Hopper 2,Signal Loss,Low,-67.0,Michelle Contreras,Billing,2024-09-24 12:36:38.476169,2025-01-06 12:36:38.476169,20,Resolved,3.0,False,True,Senior,True,False,382.83,False
3158,5865,Super Joey,Hardware Failure,High,-80.0,Edward Harris,Network Operations,2024-08-25 12:36:38.476169,2025-10-20 12:36:38.476169,14,Closed,3.6,True,True,Expert,True,True,15.02,True
3159,11729,Wally,Remote Pairing,Critical,-98.0,Scott Brown,Sales,2024-07-14 12:36:38.476169,2025-04-30 12:36:38.476169,32,Closed,4.8,True,False,Expert,False,False,123.31,True
3160,12547,Joey,Signal Loss,High,-66.0,Steven Buck,Sales,2024-05-13 12:36:38.476169,2026-03-13 12:36:38.476169,19,In Progress,4.6,True,False,Junior,True,True,118.03,True
3161,3718,Outdoor Dish,Hardware Failure,High,-40.0,Christopher Kerr,Equipment Support,2025-08-15 12:36:38.476169,2024-07-05 12:36:38.476169,36,In Progress,2.1,True,True,Expert,True,True,200.78,False
3162,2625,4K Joey,Signal Loss,High,-90.0,Alexander Walker,Technical Support,2024-11-16 12:36:38.476169,2025-02-16 12:36:38.476169,3,Resolved,2.8,True,False,Junior,True,True,111.33,False
3163,9965,Super Joey,Upgrade,Medium,-80.0,Valerie Richards,Sales,2024-08-11 12:36:38.476169,2025-02-09 12:36:38.476169,9,Closed,4.9,False,False,Senior,False,False,249.48,True
3164,11486,Joey,Activation,Critical,-53.0,Kevin Powell,Sales,2025-04-13 12:36:38.476169,2024-04-18 12:36:38.476169,4,On Hold,3.8,False,True,Junior,True,False,449.8,False
3165,7090,Hopper 3,Hardware Failure,Low,-67.0,John Davis,Equipment Support,2024-07-26 12:36:38.476169,2024-10-30 12:36:38.476169,40,In Progress,4.8,False,True,Expert,True,False,326.18,True
3166,12168,Hopper 3,Upgrade,Medium,-37.0,Unassigned,Billing,2024-10-03 12:36:38.476169,2025-10-11 12:36:38.476169,53,Resolved,4.2,True,False,Expert,True,True,400.48,True
3167,6110,Wally,Remote Pairing,Medium,-86.0,Terry Greene,Network Operations,2025-10-06 12:36:38.476169,2025-05-14 12:36:38.476169,34,In Progress,2.7,True,True,Junior,True,True,199.36,True
3168,8041,4K Joey,Signal Loss,Low,-96.0,David Graham,Equipment Support,2024-04-27 12:36:38.476169,2025-01-27 12:36:38.476169,7,Clsd,4.6,True,True,Junior,False,True,360.17,True
3169,9747,Hopper 3,Upgrade,Medium,-74.0,Tamara Dillon,Sales,2025-12-31 12:36:38.476169,2025-05-24 12:36:38.476169,72,Open,2.1,False,False,Junior,False,True,262.26,True
3170,12351,Joey,Cancellation,High,-35.0,Bradley Pearson,Billing,2025-01-11 12:36:38.476169,2025-02-08 12:36:38.476169,1,Clsd,1.8,False,False,Expert,True,True,404.51,False
3171,12535,Outdoor Dish,Billing,Critical,-56.0,Mary Carpenter,Installation,2025-05-11 12:36:38.476169,2025-02-19 12:36:38.476169,46,Open,2.1,False,True,Senior,False,True,377.22,True
3172,8272,Super Joey,Upgrade,Critical,-70.0,Yvonne Edwards,Billing,2024-05-03 12:36:38.476169,2025-09-25 12:36:38.476169,28,In Progress,1.8,True,False,Expert,True,True,380.07,True
3173,5153,Joey,Remote Pairing,Low,-31.0,Nicole Gonzalez,Technical Support,2024-03-28 12:36:38.476169,2024-07-18 12:36:38.476169,9,Closed,3.5,False,True,Senior,True,True,280.38,False
3174,8998,Wally,Hardware Failure,Critical,-42.0,Debbie Estes,Technical Support,2025-03-11 12:36:38.476169,2025-06-21 12:36:38.476169,2,Clsd,3.0,False,True,Senior,False,False,280.23,True
3175,7754,Wally,Billing,Medium,-74.0,Bryan Chavez,Equipment Support,2024-11-12 12:36:38.476169,2025-12-31 12:36:38.476169,50,Clsd,3.2,False,True,Expert,True,False,162.39,False
3176,9395,4K Joey,Cancellation,Low,-76.0,Pam Peterson,Network Operations,2025-12-28 12:36:38.476169,2025-09-13 12:36:38.476169,4,On Hold,2.8,True,False,Junior,False,False,233.56,True
3177,12743,Hopper 3,Activation,Critical,-59.0,Ariel Smith,Technical Support,2025-12-31 12:36:38.476169,2025-07-02 12:36:38.476169,53,On Hold,4.4,False,True,Expert,False,True,375.63,True
3178,3326,4K Joey,Cancellation,Low,-52.0,Kathleen Hart,Billing,2025-07-28 12:36:38.476169,2026-01-22 12:36:38.476169,47,In Progress,5.0,False,True,Junior,False,True,471.28,True
3179,4497,Hopper 3,Upgrade,Critical,-69.0,Martin Alexander,Installation,2024-04-28 12:36:38.476169,2025-09-24 12:36:38.476169,4,Open,2.0,True,True,Senior,False,True,214.84,False
3180,10884,4K Joey,Installation,Low,-31.0,William Banks,Billing,2024-12-22 12:36:38.476169,2024-07-04 12:36:38.476169,11,Clsd,2.1,False,False,Expert,False,False,432.06,False
3181,9660,Outdoor Dish,Upgrade,Critical,-52.0,Tara Thomas,Sales,2024-10-29 12:36:38.476169,2024-11-27 12:36:38.476169,5,Clsd,2.8,False,False,Senior,False,True,391.06,False
3182,3177,Hopper 2,Billing,Low,-78.0,Sharon Leach,Installation,2025-09-13 12:36:38.476169,2024-05-12 12:36:38.476169,13,In Progress,3.2,False,False,Junior,False,False,430.62,True
3183,6441,Super Joey,Hardware Failure,Low,-49.0,Jessica Cunningham Md,Billing,2025-10-21 12:36:38.476169,2025-12-30 12:36:38.476169,62,Open,3.1,False,True,Junior,True,False,200.59,True
3184,5916,Joey,Billing,Critical,-45.0,Dr. Lauren Oneill,Billing,2025-05-28 12:36:38.476169,2025-12-16 12:36:38.476169,35,Closed,2.3,True,False,Junior,True,True,6.78,False
3185,9014,4K Joey,Installation,Medium,-40.0,Alan Taylor,Technical Support,2025-12-10 12:36:38.476169,2025-08-16 12:36:38.476169,20,Closed,3.8,True,False,Expert,True,False,195.15,True
3186,3588,Joey,Signal Loss,Low,-39.0,Ashlee Davis,Billing,2026-01-10 12:36:38.476169,2024-10-05 12:36:38.476169,52,Resolved,3.0,False,True,Senior,False,True,19.82,False
3187,6825,4K Joey,Signal Loss,Critical,-97.0,Erik Ray,Network Operations,2025-04-02 12:36:38.476169,2024-04-27 12:36:38.476169,30,Open,1.0,False,True,Senior,True,True,424.55,True
3188,1878,Super Joey,Upgrade,Medium,-58.0,Michael Hubbard,Network Operations,2026-01-10 12:36:38.476169,2025-03-24 12:36:38.476169,2,Closed,1.7,False,True,Senior,False,False,306.14,True
3189,11983,Hopper 2,Cancellation,Critical,-79.0,Mark Campos,Equipment Support,2024-04-01 12:36:38.476169,2025-11-24 12:36:38.476169,49,Open,4.5,True,False,Junior,True,False,112.25,True
3190,4063,Super Joey,Billing,Medium,-44.0,Kenneth Schwartz,Sales,2025-05-03 12:36:38.476169,2024-07-18 12:36:38.476169,72,Clsd,2.4,True,True,Expert,True,True,355.53,False
3191,6335,Hopper 2,Hardware Failure,Critical,-64.93720823798627,Jamie Calderon,Installation,2025-07-13 12:36:38.476169,2024-04-25 12:36:38.476169,2,Clsd,4.5,False,True,Senior,False,True,94.63,True
3192,11729,4K Joey,Upgrade,Medium,-76.0,Mary Chapman,Installation,2024-08-07 12:36:38.476169,2025-06-06 12:36:38.476169,48,Closed,1.9,True,True,Expert,False,True,212.0,True
3193,3102,4K Joey,Billing,Medium,-85.0,Madeline Jones,Sales,2025-03-15 12:36:38.476169,2025-02-12 12:36:38.476169,31,Open,4.8,True,False,Expert,True,False,339.71,True
3194,9579,Wally,Billing,Critical,-43.0,John George,Installation,2025-03-27 12:36:38.476169,2024-12-03 12:36:38.476169,36,Clsd,3.4,False,True,Expert,True,False,48.12,True
3195,3633,Wally,Hardware Failure,Low,-33.0,Unassigned,Technical Support,2025-11-12 12:36:38.476169,2024-09-15 12:36:38.476169,45,Clsd,1.4,True,True,Expert,False,True,83.49,False
3196,2292,Super Joey,Signal Loss,High,-72.0,Henry Gibson Jr.,Technical Support,2025-04-03 12:36:38.476169,2026-01-29 12:36:38.476169,48,Resolved,1.4,True,False,Expert,False,True,27.78,False
3197,6496,4K Joey,Billing,Critical,-42.0,Elizabeth Bird,Network Operations,2025-09-30 12:36:38.476169,2025-01-06 12:36:38.476169,35,Closed,3.2,True,True,Senior,False,True,369.95,True
3198,10354,Hopper 3,Installation,Low,-44.0,Jason Mckinney,Installation,2024-08-28 12:36:38.476169,2024-10-23 12:36:38.476169,67,Closed,3.0,True,True,Senior,True,True,475.36,False
3199,10731,Outdoor Dish,Remote Pairing,Critical,-73.0,Melanie Murphy,Billing,2024-07-05 12:36:38.476169,2025-07-18 12:36:38.476169,55,Open,1.0,True,False,Senior,False,False,64.85,True
3200,9275,Hopper 2,Remote Pairing,High,-50.0,Unassigned,Billing,2025-02-18 12:36:38.476169,2024-10-15 12:36:38.476169,58,Open,1.7,False,True,Junior,False,True,450.64,True
3201,4832,Hopper 3,Remote Pairing,Low,-70.0,Richard Rosales,Technical Support,2024-03-27 12:36:38.476169,2025-04-04 12:36:38.476169,16,Closed,4.5,True,True,Expert,False,True,431.69,True
3202,3323,Hopper 3,Activation,Low,-80.0,Catherine Choi,Network Operations,2025-06-03 12:36:38.476169,2024-05-06 12:36:38.476169,48,Resolved,3.0,True,False,Senior,True,True,195.66,False
3203,12832,Joey,Installation,Medium,-98.0,Anne Wade,Network Operations,2024-12-22 12:36:38.476169,2024-05-21 12:36:38.476169,22,On Hold,4.0,True,True,Expert,False,False,345.6,False
3204,9683,Joey,Upgrade,Low,-90.0,Richard Jordan,Sales,2024-07-12 12:36:38.476169,2024-09-14 12:36:38.476169,68,Resolved,1.9,True,False,Expert,False,False,147.74,True
3205,9789,Outdoor Dish,Hardware Failure,Medium,-46.0,Bradley Thompson,Billing,2025-11-11 12:36:38.476169,2025-07-24 12:36:38.476169,9,On Hold,1.0,True,True,Junior,False,False,333.67,False
3206,12142,4K Joey,Billing,High,-64.93720823798627,Nicholas Owens,Sales,2026-02-14 12:36:38.476169,2025-07-12 12:36:38.476169,28,Open,3.9,False,False,Junior,True,False,60.95,False
3207,10848,Super Joey,Billing,Medium,-49.0,Cheryl Little,Equipment Support,2025-08-02 12:36:38.476169,2025-05-14 12:36:38.476169,64,On Hold,3.0,False,False,Junior,True,True,53.89,False
3208,6258,Wally,Activation,Medium,-39.0,Peter Rose,Technical Support,2025-06-10 12:36:38.476169,2025-08-29 12:36:38.476169,30,Closed,2.8,True,False,Senior,False,True,147.04,True
3209,6241,Outdoor Dish,Activation,Medium,-63.0,David West,Installation,2025-12-12 12:36:38.476169,2024-05-10 12:36:38.476169,22,On Hold,2.4,True,False,Expert,True,True,120.97,False
3210,5346,Joey,Installation,Critical,-31.0,Philip Strong,Network Operations,2025-05-14 12:36:38.476169,2025-10-04 12:36:38.476169,24,In Progress,2.6,True,True,Junior,False,True,185.62,True
3211,7431,4K Joey,Billing,Medium,-66.0,Katherine Roberson,Installation,2025-12-06 12:36:38.476169,2025-11-02 12:36:38.476169,47,Closed,2.7,True,True,Expert,False,True,199.7,True
3212,6681,4K Joey,Hardware Failure,Critical,-74.0,Annette Hendrix,Sales,2025-06-22 12:36:38.476169,2024-04-13 12:36:38.476169,5,Resolved,3.0,True,False,Junior,False,True,86.46,False
3213,12330,Outdoor Dish,Signal Loss,Low,-49.0,Lisa Sampson,Installation,2025-12-05 12:36:38.476169,2024-07-14 12:36:38.476169,71,Closed,2.3,True,True,Junior,False,False,418.33,False
3214,5289,Joey,Installation,Medium,-84.0,Evan Melton,Technical Support,2024-04-04 12:36:38.476169,2024-10-20 12:36:38.476169,67,In Progress,1.6,True,False,Senior,False,True,272.92,True
3215,8061,Wally,Activation,Low,-97.0,Zachary Henderson,Billing,2024-12-08 12:36:38.476169,2024-05-29 12:36:38.476169,18,On Hold,3.8,True,True,Expert,False,True,379.04,False
3216,5896,Hopper 2,Hardware Failure,Low,-97.0,Cassidy Ramirez,Installation,2025-06-20 12:36:38.476169,2024-05-07 12:36:38.476169,48,In Progress,3.2,False,True,Junior,False,False,269.77,False
3217,6668,4K Joey,Remote Pairing,Low,-73.0,Lydia Shaw,Technical Support,2024-07-03 12:36:38.476169,2024-07-01 12:36:38.476169,1,In Progress,3.6,False,True,Senior,True,True,369.14,False
3218,4655,Wally,Cancellation,High,-42.0,Emily Vega,Equipment Support,2025-08-05 12:36:38.476169,2025-02-16 12:36:38.476169,51,On Hold,3.5,True,False,Junior,True,True,447.38,True
3219,10546,Joey,Activation,Medium,-74.0,Michael Henry,Technical Support,2026-01-01 12:36:38.476169,2024-11-02 12:36:38.476169,26,On Hold,4.0,False,True,Senior,False,True,48.3,False
3220,2592,Hopper 3,Signal Loss,Medium,-31.0,Jessica Lara,Network Operations,2025-08-18 12:36:38.476169,2025-11-30 12:36:38.476169,72,On Hold,3.0,False,False,Junior,True,False,317.83,True
3221,9849,4K Joey,Signal Loss,High,-62.0,Marvin Lee,Technical Support,2026-01-04 12:36:38.476169,2026-01-12 12:36:38.476169,70,Closed,3.5,False,True,Expert,False,False,400.49,True
3222,9077,Joey,Signal Loss,Critical,-33.0,Unassigned,Technical Support,2025-05-27 12:36:38.476169,2024-06-23 12:36:38.476169,60,Closed,3.9,False,False,Junior,True,False,6.75,False
3223,9602,4K Joey,Cancellation,Critical,-47.0,Jeremy Vargas,Network Operations,2024-10-15 12:36:38.476169,2026-01-16 12:36:38.476169,72,In Progress,1.2,False,True,Expert,False,False,347.9,True
3224,3807,Wally,Installation,Low,-89.0,Dawn Bowen,Sales,2026-01-08 12:36:38.476169,2025-01-09 12:36:38.476169,8,Resolved,3.1,True,True,Expert,False,True,135.51,True
3225,10292,Outdoor Dish,Signal Loss,Low,-32.0,Randall Lloyd,Billing,2024-10-12 12:36:38.476169,2025-07-31 12:36:38.476169,57,Clsd,2.7,False,False,Junior,True,False,376.12,False
3226,8341,Outdoor Dish,Signal Loss,Medium,-64.93720823798627,Tanya Riley,Equipment Support,2025-04-12 12:36:38.476169,2024-06-29 12:36:38.476169,6,On Hold,5.0,True,True,Senior,True,True,51.32,False
3227,10708,Joey,Signal Loss,Critical,-38.0,Dawn Jennings,Sales,2025-12-13 12:36:38.476169,2025-01-10 12:36:38.476169,47,In Progress,4.1,True,False,Expert,False,True,78.02,False
3228,8831,4K Joey,Activation,High,-38.0,David Parker,Technical Support,2025-03-20 12:36:38.476169,2024-11-23 12:36:38.476169,51,Resolved,3.7,False,False,Senior,False,True,199.59,False
3229,2471,4K Joey,Cancellation,Low,-51.0,Erik King,Technical Support,2025-03-03 12:36:38.476169,2025-02-20 12:36:38.476169,27,Open,2.8,True,False,Junior,False,False,331.58,True
3230,9207,4K Joey,Billing,High,-64.93720823798627,Barbara Walker,Installation,2025-10-08 12:36:38.476169,2024-10-05 12:36:38.476169,59,Closed,1.7,False,False,Expert,False,True,441.95,True
3231,8950,Wally,Upgrade,Medium,-56.0,John Fuller,Sales,2025-01-05 12:36:38.476169,2024-09-18 12:36:38.476169,14,Closed,1.4,True,True,Expert,True,True,169.17,True
3232,12514,Outdoor Dish,Cancellation,Medium,-64.93720823798627,Elizabeth Martin,Installation,2024-12-09 12:36:38.476169,2025-04-30 12:36:38.476169,65,In Progress,3.1,True,False,Expert,True,True,324.53,False
3233,3494,Hopper 3,Signal Loss,Critical,-64.93720823798627,Matthew Lynch,Installation,2024-06-16 12:36:38.476169,2025-05-02 12:36:38.476169,50,On Hold,2.1,True,True,Senior,True,False,292.21,True
3234,10721,Outdoor Dish,Remote Pairing,Medium,-32.0,Ronald Haynes,Equipment Support,2025-01-03 12:36:38.476169,2025-11-14 12:36:38.476169,17,Clsd,3.7,True,False,Expert,True,True,300.39,True
3235,9587,Wally,Signal Loss,Medium,-49.0,Michael Ball,Network Operations,2024-12-16 12:36:38.476169,2024-04-23 12:36:38.476169,29,Open,1.8,True,False,Expert,True,False,252.56,True
3236,9498,Wally,Upgrade,Low,-31.0,Sara Spencer,Equipment Support,2024-06-29 12:36:38.476169,2024-11-21 12:36:38.476169,44,On Hold,2.0,True,False,Senior,False,True,433.17,False
3237,6605,Hopper 3,Activation,Critical,-78.0,Unassigned,Equipment Support,2025-10-16 12:36:38.476169,2025-09-20 12:36:38.476169,51,Open,3.0,True,True,Expert,False,False,337.45,True
3238,10447,Super Joey,Upgrade,Low,-30.0,Timothy Obrien,Network Operations,2024-04-17 12:36:38.476169,2025-01-27 12:36:38.476169,2,In Progress,4.9,False,False,Expert,False,True,181.61,True
3239,8610,Wally,Remote Pairing,High,-96.0,Debra Ball,Network Operations,2024-05-20 12:36:38.476169,2024-12-16 12:36:38.476169,38,Clsd,4.1,True,False,Junior,False,False,253.73,True
3240,8461,Super Joey,Upgrade,Medium,-49.0,Douglas Kelly,Billing,2025-01-05 12:36:38.476169,2025-07-16 12:36:38.476169,33,On Hold,4.1,True,True,Senior,False,True,117.42,False
3241,2621,Hopper 2,Remote Pairing,High,-66.0,Ethan Smith,Equipment Support,2024-04-30 12:36:38.476169,2026-03-08 12:36:38.476169,11,Open,3.9,False,True,Expert,False,True,99.13,True
3242,3385,Super Joey,Installation,Low,-85.0,Krystal Valdez,Sales,2026-02-27 12:36:38.476169,2024-04-21 12:36:38.476169,16,Closed,2.9,False,False,Senior,True,False,153.83,True
3243,4712,Joey,Remote Pairing,Medium,-48.0,Courtney Rodriguez,Network Operations,2024-06-19 12:36:38.476169,2025-02-04 12:36:38.476169,52,Clsd,4.7,False,False,Junior,False,False,230.07,True
3244,6445,4K Joey,Billing,Critical,-64.0,Maureen Riggs,Billing,2024-08-18 12:36:38.476169,2024-12-31 12:36:38.476169,50,Closed,3.7,False,True,Expert,True,True,150.31,False
3245,1710,Hopper 2,Activation,Medium,-34.0,Rachel Graham,Installation,2025-05-27 12:36:38.476169,2024-12-30 12:36:38.476169,55,Closed,3.2,False,True,Junior,True,False,434.97,True
3246,11667,4K Joey,Upgrade,Critical,-41.0,Erin Brooks,Network Operations,2025-02-27 12:36:38.476169,2024-07-05 12:36:38.476169,8,On Hold,4.7,True,False,Junior,True,True,11.21,False
3247,6434,Hopper 2,Remote Pairing,Low,-84.0,Jennifer May,Equipment Support,2025-05-28 12:36:38.476169,2025-03-21 12:36:38.476169,8,Clsd,2.5,True,True,Junior,False,True,34.24,False
3248,2279,Super Joey,Remote Pairing,High,-42.0,Bradley Smith,Equipment Support,2025-07-13 12:36:38.476169,2025-09-11 12:36:38.476169,30,In Progress,4.0,True,False,Senior,False,False,179.03,False
3249,12685,Super Joey,Billing,Low,-64.93720823798627,Robert Dalton,Installation,2024-10-17 12:36:38.476169,2025-12-10 12:36:38.476169,4,On Hold,4.7,True,False,Senior,False,False,270.28,True
3250,4718,Hopper 3,Billing,High,-32.0,Hector Rivera,Technical Support,2025-11-14 12:36:38.476169,2025-09-20 12:36:38.476169,54,On Hold,4.3,False,False,Expert,False,False,188.59,True
3251,9509,Super Joey,Cancellation,Medium,-69.0,Rebecca Walter,Network Operations,2026-03-06 12:36:38.476169,2024-08-09 12:36:38.476169,13,Clsd,2.4,True,False,Expert,True,True,451.83,False
3252,5963,Hopper 2,Cancellation,Medium,-64.93720823798627,Meredith Baker,Sales,2024-10-08 12:36:38.476169,2025-03-08 12:36:38.476169,38,Clsd,2.4,True,False,Junior,False,False,268.94,False
3253,10024,Super Joey,Activation,Low,-48.0,Ashley Ballard,Technical Support,2025-12-07 12:36:38.476169,2025-02-11 12:36:38.476169,31,Resolved,4.4,False,True,Expert,False,True,252.42,False
3254,8642,Joey,Installation,Medium,-47.0,Eric Howard,Installation,2024-06-14 12:36:38.476169,2025-07-03 12:36:38.476169,55,On Hold,2.5,True,True,Junior,True,False,324.91,True
3255,11940,Wally,Remote Pairing,High,-34.0,Brian Johnson,Equipment Support,2024-12-06 12:36:38.476169,2024-04-02 12:36:38.476169,6,Open,2.5,False,False,Senior,False,False,231.42,False
3256,11269,Wally,Signal Loss,Critical,-40.0,Barbara Brown,Network Operations,2024-03-31 12:36:38.476169,2024-06-01 12:36:38.476169,49,Resolved,2.0,True,True,Expert,True,False,173.55,True
3257,7088,Outdoor Dish,Activation,Medium,-54.0,Cheryl Meyer,Network Operations,2024-04-03 12:36:38.476169,2024-12-30 12:36:38.476169,57,Closed,2.8,False,False,Junior,False,True,116.13,True
3258,8080,Hopper 3,Activation,High,-71.0,Nicole Stout,Equipment Support,2024-10-13 12:36:38.476169,2026-01-26 12:36:38.476169,24,On Hold,4.1,True,True,Senior,False,True,187.32,True
3259,5929,Hopper 2,Signal Loss,Low,-42.0,Thomas Combs,Network Operations,2025-04-14 12:36:38.476169,2026-02-28 12:36:38.476169,71,Clsd,3.9,True,True,Senior,False,True,189.77,True
3260,12785,Hopper 2,Installation,Critical,-60.0,Thomas Sanders,Sales,2025-07-29 12:36:38.476169,2024-03-25 12:36:38.476169,66,Open,2.0,False,True,Expert,False,True,276.42,False
3261,12311,Super Joey,Remote Pairing,Low,-90.0,Jennifer Allison,Network Operations,2025-04-08 12:36:38.476169,2024-10-20 12:36:38.476169,7,Clsd,3.0,True,True,Junior,False,False,451.53,False
3262,5897,Super Joey,Remote Pairing,Medium,-34.0,Melissa Williams,Sales,2025-07-27 12:36:38.476169,2026-03-01 12:36:38.476169,12,Closed,4.3,False,True,Junior,False,False,428.41,True
3263,9831,Outdoor Dish,Billing,Medium,-94.0,Robert Henson,Equipment Support,2025-03-02 12:36:38.476169,2024-06-14 12:36:38.476169,9,In Progress,2.2,False,True,Expert,False,True,367.92,False
3264,4498,Super Joey,Cancellation,High,-72.0,Robin Hernandez,Installation,2025-09-09 12:36:38.476169,2025-07-09 12:36:38.476169,22,On Hold,2.5,False,True,Senior,False,False,450.53,True
3265,8761,Wally,Upgrade,Low,-37.0,Tyler Aguilar,Sales,2025-03-04 12:36:38.476169,2024-06-17 12:36:38.476169,70,Resolved,1.3,False,True,Senior,False,True,100.49,False
3266,12175,Wally,Activation,High,-62.0,Suzanne Scott,Billing,2025-09-09 12:36:38.476169,2025-09-07 12:36:38.476169,11,Closed,3.9,False,True,Junior,False,True,40.32,False
3267,3522,4K Joey,Upgrade,High,-52.0,April Wagner,Installation,2025-05-16 12:36:38.476169,2025-02-19 12:36:38.476169,36,Resolved,3.4,True,False,Junior,False,False,156.17,True
3268,4193,4K Joey,Installation,Medium,-36.0,Tina Hill,Sales,2024-04-01 12:36:38.476169,2025-08-10 12:36:38.476169,63,On Hold,4.0,False,True,Junior,False,False,482.61,False
3269,11717,Hopper 3,Activation,Critical,-64.93720823798627,Mary Schwartz,Equipment Support,2024-03-15 12:36:38.476169,2024-08-20 12:36:38.476169,65,Closed,2.3,True,False,Expert,False,True,477.94,False
3270,9361,Super Joey,Signal Loss,High,-72.0,Whitney Marshall,Billing,2025-11-20 12:36:38.476169,2026-01-27 12:36:38.476169,47,Closed,1.6,False,False,Junior,False,False,259.83,False
3271,12062,Joey,Installation,Medium,-99.0,Rachel Johnson,Equipment Support,2025-05-10 12:36:38.476169,2025-03-20 12:36:38.476169,35,Closed,3.6,True,False,Expert,False,True,60.48,True
3272,4773,Joey,Hardware Failure,Low,-99.0,Alyssa Jones,Technical Support,2024-05-01 12:36:38.476169,2024-08-12 12:36:38.476169,29,Closed,4.5,False,False,Expert,True,False,12.44,False
3273,11452,Joey,Installation,Critical,-68.0,Kristin Perez,Technical Support,2024-09-13 12:36:38.476169,2024-09-24 12:36:38.476169,57,Open,2.8,True,True,Senior,True,True,404.93,True
3274,11666,Hopper 3,Installation,Low,-57.0,Larry Anderson,Billing,2025-10-27 12:36:38.476169,2026-03-12 12:36:38.476169,22,Resolved,3.1,False,False,Junior,False,False,217.2,True
3275,4419,Hopper 3,Hardware Failure,High,-93.0,Kelly Barker,Technical Support,2025-05-19 12:36:38.476169,2025-11-29 12:36:38.476169,16,On Hold,4.8,True,True,Expert,True,True,450.76,True
3276,10523,4K Joey,Signal Loss,Critical,-44.0,Phyllis Decker,Sales,2024-05-20 12:36:38.476169,2025-01-17 12:36:38.476169,68,Closed,1.4,False,True,Expert,False,True,166.83,True
3277,4894,Hopper 3,Upgrade,Critical,-57.0,Kathryn Moody,Technical Support,2024-05-18 12:36:38.476169,2024-10-25 12:36:38.476169,45,Open,2.9,False,True,Senior,True,False,14.71,True
3278,1774,Super Joey,Activation,Medium,-88.0,Richard Wilson,Installation,2026-03-06 12:36:38.476169,2026-01-31 12:36:38.476169,61,On Hold,4.9,False,True,Senior,True,False,184.0,True
3279,4326,Joey,Hardware Failure,High,-94.0,Mary Kidd,Installation,2026-01-25 12:36:38.476169,2025-12-10 12:36:38.476169,7,Open,1.5,False,True,Senior,False,True,230.33,True
3280,4414,4K Joey,Activation,Medium,-33.0,Jeremy Torres,Equipment Support,2024-08-15 12:36:38.476169,2026-03-09 12:36:38.476169,62,Closed,2.5,True,True,Junior,False,True,217.72,False
3281,9353,Wally,Installation,Medium,-98.0,Scott Lee,Installation,2025-07-05 12:36:38.476169,2024-08-11 12:36:38.476169,54,On Hold,3.6,True,False,Expert,True,False,89.39,True
3282,11438,Outdoor Dish,Upgrade,Critical,-33.0,Unassigned,Billing,2025-06-13 12:36:38.476169,2024-06-12 12:36:38.476169,26,Closed,1.8,False,True,Junior,True,True,154.96,False
3283,1942,Hopper 3,Billing,Critical,-45.0,David Schaefer,Equipment Support,2024-07-18 12:36:38.476169,2024-05-18 12:36:38.476169,53,Closed,1.1,True,False,Junior,True,True,116.6,True
3284,2544,Super Joey,Signal Loss,Critical,-87.0,Connie Dickson,Billing,2025-05-25 12:36:38.476169,2024-10-06 12:36:38.476169,11,Resolved,3.6,False,True,Expert,False,False,115.65,False
3285,7402,Outdoor Dish,Installation,Low,-43.0,Heidi Reed,Network Operations,2025-04-22 12:36:38.476169,2025-05-11 12:36:38.476169,8,Closed,3.6,False,True,Expert,False,False,146.67,False
3286,7505,Hopper 3,Activation,High,-86.0,Kevin Richardson,Installation,2025-02-25 12:36:38.476169,2025-08-30 12:36:38.476169,15,Clsd,1.3,True,True,Junior,True,True,202.58,False
3287,1752,Hopper 3,Upgrade,Low,-85.0,Randy Benson,Network Operations,2025-11-26 12:36:38.476169,2024-07-07 12:36:38.476169,39,Clsd,1.2,True,True,Junior,True,True,49.26,True
3288,7532,Hopper 2,Activation,Critical,-79.0,David Larson,Network Operations,2025-04-16 12:36:38.476169,2024-08-31 12:36:38.476169,48,On Hold,2.9,False,True,Expert,True,False,386.92,False
3289,11778,Super Joey,Upgrade,Critical,-84.0,Victoria Stewart,Equipment Support,2024-10-16 12:36:38.476169,2025-01-02 12:36:38.476169,57,Closed,1.6,False,False,Senior,True,True,292.63,False
3290,3207,Hopper 3,Billing,Critical,-69.0,Suzanne Wolfe,Sales,2024-05-05 12:36:38.476169,2026-01-14 12:36:38.476169,11,Resolved,2.5,True,False,Senior,False,True,365.14,False
3291,8257,4K Joey,Cancellation,Low,-78.0,Debra Phillips,Sales,2025-03-26 12:36:38.476169,2025-07-12 12:36:38.476169,17,Resolved,2.9,True,False,Junior,True,True,470.4,True
